cuneichar,cuneicharAltLabel,cuneicharLabel,phoneticValues,oslIDs
http://www.wikidata.org/entity/Q87556422,"CUNEIFORM SIGN SHIR, U+122D3",𒋓,"šeri, as₅, aš₇, ašgi₂, gasaₓ, šer, sil₈, šir, sir₄, siru, sirum, šur₃",o0002840
http://www.wikidata.org/entity/Q87556445,"CUNEIFORM SIGN SIG4 OVER SIG4 SHU2, U+122DF",𒋟,"guhšu, hiₓ, lahhušu, šikahara",o0002344
http://www.wikidata.org/entity/Q87557086,"CUNEIFORM PUNCTUATION SIGN DIAGONAL COLON, U+12472",𒑲,p₃,o0000507
http://www.wikidata.org/entity/Q87555178,"CUNEIFORM SIGN DAG KISIM5 TIMES BALAG, U+12059",𒁙,šaran,o0000951
http://www.wikidata.org/entity/Q87556457,"CUNEIFORM SIGN SUD2, U+122E5",𒋥,"rud, rad, rat, rata, šušu, šita₃, sud₂, susu, adarₓ, ildag, ra₄, raṭ, rit₂, ruṭ, šidaₓ, šitan, šiten, susₓ, zusu",o0000534
http://www.wikidata.org/entity/Q87556460,"CUNEIFORM SIGN SUHUR, U+122E6",𒋦,"suhur, ubi₂, suh₂, sumur₂, ugab",o0000535
http://www.wikidata.org/entity/Q87557096,"CUNEIFORM SIGN AD TIMES ESH2, U+12482",𒒂,,o0000775
http://www.wikidata.org/entity/Q87555253,"CUNEIFORM SIGN DUB2, U+12080",𒂀,"sagkurini, dub₂, dim₅, duba₂, dubu₂, dup₂, tig₃, tu₁₆, tub₂, ṭub₂, tup₂",o0000154
http://www.wikidata.org/entity/Q87555194,"CUNEIFORM SIGN DAG KISIM5 TIMES IR, U+12061",𒁡,ubur₃,o0000958
http://www.wikidata.org/entity/Q87556471,"CUNEIFORM SIGN TA ASTERISK, U+122EC",𒋬,,o0000543
http://www.wikidata.org/entity/Q87555867,"CUNEIFORM SIGN KUR, U+121B3, Kur (cuneiform)",𒆳,"šaṭ, šata, lad, mad, sat, kur, nata, nad, mat, nat, lat, amma, sad, sata, lata, raman, gin₃, gur₁₆, zizanu, anubu, ge₂₁, gen₃, gina₃, kin₃, laṭ, mak₀, maṭ, qur₂, ramanu, rammanu, rašu, razu, šad, šada, šadi, šadu, šahan, šat",o0000294
http://www.wikidata.org/entity/Q87556455,"CUNEIFORM SIGN SUD, U+122E4, CUNEIFORM SIGN BU GUNU (𒁍@g), CUNEIFORM SIGN SU3",𒋤,"sud, ser, sir, sug₄, sar₄, šir₈, su₃, śu₃, šud, šut, šuṭ, šuz, zir₀, zir₄, zu₆",o0000532
http://www.wikidata.org/entity/Q87555260,"CUNEIFORM SIGN DUN, U+12084, CUNEIFORM SIGN SHUL",𒂄,"duna, dun, sul, šul, attinger, du₂₄, dur₉, duru₉, šah₂, sah₃, šaha₂, šahan₃, su₁₇, tun₄, zu₇",o0000158
http://www.wikidata.org/entity/Q87556473,"CUNEIFORM SIGN TA TIMES HI, U+122ED, CUNEIFORM SIGN LAL3",𒋭,"lal₃, alammuš, alamuš, ru₈",o0002407
http://www.wikidata.org/entity/Q87555265,"CUNEIFORM SIGN DUN3 GUNU GUNU, U+12087, NIMGIR, CUNEIFORM SIGN MIR",𒂇,"aga, mer, mir, miri, mere, uku, agu, ir₁₇, migir, nigir, nimgir, nimirₓ, niŋir, ten₃, tin₃",o0000162
http://www.wikidata.org/entity/Q87555879,"CUNEIFORM SIGN LAGAB, U+121B8",𒆸,"rem, kil, rim, kel, kele, qel, hab, hap, rin, haba, gerin, kili, niŋin₂, lagab, tukur, girak, girim, ella₂, ellag, ellaŋ, gil₂, gili₂, gir₈, girenₓ, giri₈, giriak, girin, gud₈, gur₄, gurun₃, illag, kilib, kir₃, kur₄, kuru₄, lugud₂, ni₁₀, nigi₂, nigin₂, nimen₂, nin₄, niŋen₂, niŋi₂, qer₃, qil, qir₃, qur₉, re₃, reme, ri₃, sim₄, tuku₆, tukulₓ, tur₆",o0000306
http://www.wikidata.org/entity/Q87556466,"CUNEIFORM SIGN SUR, U+122E9",𒋩,"sura, sur, śur, šur, ṭir₃",o0000539
http://www.wikidata.org/entity/Q87555205,"CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2, U+12066",𒁦,"udul₃, utuwa₂, amaš, amaša, kisim₃, ua₄, utua₂, utul₃",o0000946
http://www.wikidata.org/entity/Q87555273,"CUNEIFORM SIGN E TIMES PAP, U+1208B",𒂋,,o0001123
http://www.wikidata.org/entity/Q87555891,"CUNEIFORM SIGN LAGAB TIMES AL, U+121BD",𒆽,"gala₄, kala₄",o0001798
http://www.wikidata.org/entity/Q87556496,"TI, CUNEIFORM SIGN TI, U+122FE, TÌL",𒋾,"ti, teŋ₄, til₃, de₉, di₃, ṭe₆, te₉, tel₃, ṭi₃, tig₄, tila₃, tiŋ₄",o0000553
http://www.wikidata.org/entity/Q87555288,"CUNEIFORM SIGN E2 TIMES U, U+12093",𒂓,"sadₓ, ulaₓ",o0001161
http://www.wikidata.org/entity/Q87555234,"CUNEIFORM SIGN DIM TIMES SHE, U+12075",𒁵,"mun, gakkul₂, kakkul₂, munu",o0000978
