oslid,csign,Actual,csignLabel,validLabel(T_F),cdli_label
o0031646,http://www.wikidata.org/entity/Q125124536,𒁴×𒆕,CUNEIFORM SIGN DIM TIMES KAK (𒁴 × 𒆕),,
o0031873,http://www.wikidata.org/entity/Q125124540,𒁴×𒆳,CUNEIFORM SIGN DIM TIMES KUR (𒁴 × 𒆳),,
o0000977,http://www.wikidata.org/entity/Q125124549,𒁴×𒈦,CUNEIFORM SIGN DIM TIMES MASH (𒁴 × 𒈦),,
o0221963,http://www.wikidata.org/entity/Q125124562,𒁶×𒋢,CUNEIFORM SIGN DIM2 TIMES SU (𒁶 × 𒋢),,
,http://www.wikidata.org/entity/Q120273095,𒊐𒃵,CUNEIFORM SIGN DIM3 (𒊐 &  𒃵),,
o0002257,http://www.wikidata.org/entity/Q120272251,𒊐𒃶,CUNEIFORM SIGN DIM8 (𒊐 &  𒃶),,
o0001915,http://www.wikidata.org/entity/Q120273352,𒈗𒃶,CUNEIFORM SIGN DIM9 (𒈗 & 𒃶),,
o0002006,http://www.wikidata.org/entity/Q120271552,𒈣𒈮,CUNEIFORM SIGN DIMGUL (𒈣 & 𒈮),,
o0027171,http://www.wikidata.org/entity/Q123155535,𒁷@t,CUNEIFORM SIGN DIN TENU (𒁷@t),,
o0031792,http://www.wikidata.org/entity/Q125124577,𒁷×𒊺,CUNEIFORM SIGN DIN TIMES SHE (𒁷 × 𒊺),,
o0002337,http://www.wikidata.org/entity/Q120271766,𒋛𒀀,CUNEIFORM SIGN DIR (𒋛 & 𒀀),,
o0031874,http://www.wikidata.org/entity/Q125124591,𒁹×𒀀,CUNEIFORM SIGN DISH TIMES A (𒁹 × 𒀀),,
,http://www.wikidata.org/entity/Q123168219,𒂁×𒄭@g,CUNEIFORM SIGN DU TIMES HI GUNU (𒂁 × 𒄭@g),,
,http://www.wikidata.org/entity/Q122937055,𒁺×𒆜,CUNEIFORM SIGN DU TIMES KASKAL (𒁺 × 𒆜),,
,http://www.wikidata.org/entity/Q123155555,𒁾×𒁹,CUNEIFORM SIGN DUB TIMES DISH (𒁾 × 𒁹),,
o0001000,http://www.wikidata.org/entity/Q125124616,𒁾×𒆸,CUNEIFORM SIGN DUB TIMES LAGAB (𒁾 × 𒆸),,
,http://www.wikidata.org/entity/Q123155574,𒂁×𒀖,CUNEIFORM SIGN DUG TIMES AB2 (𒂁 × 𒀖),,
,http://www.wikidata.org/entity/Q123226091,𒂁×𒀸×𒆬,CUNEIFORM SIGN DUG TIMES ASH TIMES KU3 (𒂁 × 𒀸 × 𒆬),,
,http://www.wikidata.org/entity/Q123155584,𒂁×𒁀,CUNEIFORM SIGN DUG TIMES BA (𒂁 × 𒁀),,
,http://www.wikidata.org/entity/Q123172286,𒂁×𒁆,CUNEIFORM SIGN DUG TIMES BALAG (𒂁 × 𒁆),,
o0027945,http://www.wikidata.org/entity/Q125093358,𒂁×𒁾,CUNEIFORM SIGN DUG TIMES DUB (𒂁 × 𒁾),,
,http://www.wikidata.org/entity/Q123168263,𒂁×𒃴,CUNEIFORM SIGN DUG TIMES GALAM (𒂁 × 𒃴),,
,http://www.wikidata.org/entity/Q123155829,𒂁×𒉀,CUNEIFORM SIGN DUG TIMES NAGA (𒂁 × 𒉀),,
,http://www.wikidata.org/entity/Q123155881,𒂁×𒊓,CUNEIFORM SIGN DUG TIMES SA (𒂁 × 𒊓),,
,http://www.wikidata.org/entity/Q123262574,𒂁×𒊓×𒄀,CUNEIFORM SIGN DUG TIMES SA TIMES GI (𒂁 × 𒊓 × 𒄀),,
,http://www.wikidata.org/entity/Q123226133,𒂁×𒊺×𒉇,CUNEIFORM SIGN DUG TIMES SHE TIMES NAM2 (𒂁 × 𒊺 × 𒉇),,
o0027949,http://www.wikidata.org/entity/Q125097120,𒂁×𒋚,CUNEIFORM SIGN DUG TIMES SHUBUR (𒂁 × 𒋚),,
,http://www.wikidata.org/entity/Q123155932,𒂁×𒋠,CUNEIFORM SIGN DUG TIMES SIG2 (𒂁 × 𒋠),,
,http://www.wikidata.org/entity/Q123155941,𒂁×𒋦,CUNEIFORM SIGN DUG TIMES SUHUR (𒂁 × 𒋦),,
,http://www.wikidata.org/entity/Q123155990,𒂁×𒋺,CUNEIFORM SIGN DUG TIMES TAK4 (𒂁 × 𒋺),,
,http://www.wikidata.org/entity/Q123155998,𒂁×𒋾,CUNEIFORM SIGN DUG TIMES TI (𒂁 × 𒋾),,
,http://www.wikidata.org/entity/Q123156008,𒂁×𒌑,CUNEIFORM SIGN DUG TIMES U2 (𒂁 × 𒌑),,
,http://www.wikidata.org/entity/Q123262595,𒂁×ZATU764,CUNEIFORM SIGN DUG TIMES ZATU 764 (𒂁 × ZATU 764),,
o0027513,http://www.wikidata.org/entity/Q124833764,𒂃@g,CUNEIFORM SIGN DUH GUNU (𒂃@g),,
o0002468,http://www.wikidata.org/entity/Q120301012,𒌋𒌆,CUNEIFORM SIGN DUL (𒌋 & 𒌆),,
o0000159,http://www.wikidata.org/entity/Q124821959,𒂄@g,CUNEIFORM SIGN DUN GUNU (𒂄@g),,
,http://www.wikidata.org/entity/Q123261259,𒄙,CUNEIFORM SIGN DUR (𒄙),,
o0001850,http://www.wikidata.org/entity/Q123088313,𒇯𒁺,CUNEIFORM SIGN E11 (𒇯 & 𒁺),,
